slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,historicalData,availableApis,price,planName,planType,starred,tag
cryptoquant-mainnet-premium,,!offer:cryptoquant-premium,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,,,,,,
cryptoquant-mainnet-professional,,!offer:cryptoquant-professional,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]",mainnet,,,,,,,,,
cryptoslam-mainnet,Cryptoslam,,"[""[Dashboard](https://www.cryptoslam.io/blockchains/algorand)""]",mainnet,"[""NFT Sales Data"",""Transaction Volume"",""Number of NFT Owners"",""Upcoming Drops""]",TRUE,,"[""NFT Sales Data API""]",$0,,Free,FALSE,
defillama-mainnet-api,,!offer:defillama-api,"[""[Dashboard](https://defillama.com/chain/algorand)""]",mainnet,,,,,,,,,
defillama-mainnet-free,,!offer:defillama-free,"[""[Dashboard](https://defillama.com/chain/algorand)""]",mainnet,,,,,,,,,
defillama-mainnet-pro,,!offer:defillama-pro,"[""[Dashboard](https://defillama.com/chain/algorand)""]",mainnet,,,,,,,,,
dexscreener-mainnet,,!offer:dexscreener,,mainnet,,,,,,,,,
glassnode,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=ALGO)""]",mainnet,,,,,,,,,
laevitas-mainnet-enterprise,,!offer:laevitas-enterprise,,mainnet,,,,,,,,,
laevitas-mainnet-free,,!offer:laevitas-free,,mainnet,,,,,,,,,
laevitas-mainnet-premium,,!offer:laevitas-premium,,mainnet,,,,,,,,,
lunarcrush-builder,,!offer:lunarcrush-builder,,mainnet,,,,,,,,,
lunarcrush-hobby,,!offer:lunarcrush-hobby,,mainnet,,,,,,,,,
lunarcrush-individual,,!offer:lunarcrush-individual,,mainnet,,,,,,,,,
lunarcrush-scale,,!offer:lunarcrush-scale,,mainnet,,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/algorand)""]",mainnet,,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/token-god-mode?tokenAddress=ALGO&chain=hyperliquid&tab=transactions)""]",mainnet,,,,,,,,,
nodely-network-analytics-mainnet,,!offer:nodely-network-analytics,,mainnet,,,,,,,,,
pera-mainnet,Pera,,"[""[Dashboard](https://explorer.perawallet.app/)""]",mainnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE,
pera-testnet,Pera,,"[""[Dashboard](https://testnet.explorer.perawallet.app/)""]",testnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,,"[""Search API"",""NFT API"",""Asset API""]",$0,,Free,FALSE,
santiment-mainnet-business-max,,!offer:santiment-business-max,,mainnet,,,,,,,,,
santiment-mainnet-business-pro,,!offer:santiment-business-pro,,mainnet,,,,,,,,,
santiment-mainnet-free,,!offer:santiment-free,,mainnet,,,,,,,,,
santiment-mainnet-sanbase-max,,!offer:santiment-sanbase-max,,mainnet,,,,,,,,,
santiment-mainnet-sanbase-pro,,!offer:santiment-sanbase-pro,,mainnet,,,,,,,,,
tokenterminal-mainnet,,!offer:tokenterminal,"[""[Dashboard](https://tokenterminal.com/explorer/projects/algorand)""]",mainnet,,,,,,,,,
vestige-mainnet,Vestige,,"[""[Dashboard](https://vestige.fi/asset/0)""]",mainnet,"[""Assets"",""Tokens"",""DEX Liquidity Pools"",""Historical Price & Volume""]",TRUE,,"[""DeFi Analytics API""]",$0,,Free,FALSE,
