slug,provider,offer,actionButtons,planName,planType,historicalData,apiType,technology,chain,accessPrice,queryPrice,starred,trial,availableApis,limitations,securityImprovements,monitoringAndAnalytics,regions,additionalFeatures,address,tag,uptimeSla,verifiedUptime,blocksBehindSla,verifiedBlocksBehindAvg,bandwidthSla,verifiedLatency,supportSla
getblock-testnet-free-recent-state,,!offer:getblock-free-recent-state,"[""[Website](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://getblock.io/nodes/ton/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
getblock-testnet-pro-recent-state,,!offer:getblock-pro-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://getblock.io/nodes/ton/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
getblock-testnet-starter-recent-state,,!offer:getblock-starter-recent-state,"[""[Buy](https://account.getblock.io/sign-up?ref=YzczMmRjMTEtMGIyOC01YmZiLTlmNjAtZmRlM2VkODAyYjNk)"",""[Docs](https://getblock.io/nodes/ton/)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-free-indexer,,!offer:indexing-co-free-indexer,"[""[Docs](https://docs.indexing.co/networks/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
indexing-co-mainnet-pay-as-you-go-indexer,,!offer:indexing-co-pay-as-you-go-indexer,"[""[Docs](https://docs.indexing.co/networks/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-business-recent-state,,!offer:nownodes-business-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-dedicated-recent-state,,!offer:nownodes-dedicated-recent-state,"[""[Contact](https://account.nownodes.io/auth/login)"",""[Docs](https://nownodes.io/nodes/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-enterprise-recent-state,,!offer:nownodes-enterprise-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-free-recent-state,,!offer:nownodes-free-recent-state,"[""[Website](https://nownodes.io/nodes/toncoin-ton)"",""[Docs](https://nownodes.io/nodes/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
nownodes-mainnet-pro-recent-state,,!offer:nownodes-pro-recent-state,"[""[Buy](https://nownodes.io/pricing)"",""[Docs](https://nownodes.io/nodes/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-accelerate-full-archive,,!offer:onfinality-accelerate-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-developer-full-archive,,!offer:onfinality-developer-full-archive,"[""[Website](https://onfinality.io/en/networks/solana)"",""[Docs](https://onfinality.io/en/networks/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-mainnet-growth-full-archive,,!offer:onfinality-growth-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
onfinality-testnet-accelerate-full-archive,,!offer:onfinality-accelerate-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
onfinality-testnet-developer-full-archive,,!offer:onfinality-developer-full-archive,"[""[Website](https://onfinality.io/en/networks/ton)"",""[Docs](https://onfinality.io/en/networks/ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
onfinality-testnet-growth-full-archive,,!offer:onfinality-growth-full-archive,"[""[Buy](https://onfinality.io/en/pricing)"",""[Docs](https://onfinality.io/en/networks/ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-full-archive,,!offer:quicknode-accelerate-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-accelerate-recent-state,,!offer:quicknode-accelerate-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-full-archive,,!offer:quicknode-build-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-build-recent-state,,!offer:quicknode-build-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-full-archive,,!offer:quicknode-business-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-business-recent-state,,!offer:quicknode-business-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-full-archive,,!offer:quicknode-scale-full-archive,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
quicknode-mainnet-scale-recent-state,,!offer:quicknode-scale-recent-state,,,,,,,mainnet,,,,,,,,,,,,,,,,,,,
spectrum-mainnet-enterprise-recent-state,,!offer:spectrum-enterprise-recent-state,"[""[Website](https://spectrumnodes.com/networks/ton-rpc)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
spectrum-testnet-enterprise-recent-state,,!offer:spectrum-enterprise-recent-state,"[""[Website](https://spectrumnodes.com/networks/ton-rpc)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pro-full-archive,,!offer:tatum-pro-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-pro-recent-state,,!offer:tatum-pro-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-scale-full-archive,,!offer:tatum-scale-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-scale-recent-state,,!offer:tatum-scale-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-starter-full-archive,,!offer:tatum-starter-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-mainnet-starter-recent-state,,!offer:tatum-starter-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,mainnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-free-recent-state,,!offer:tatum-free-recent-state,"[""[Website](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pro-full-archive,,!offer:tatum-pro-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-pro-recent-state,,!offer:tatum-pro-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-scale-full-archive,,!offer:tatum-scale-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-scale-recent-state,,!offer:tatum-scale-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-starter-full-archive,,!offer:tatum-starter-full-archive,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
tatum-testnet-starter-recent-state,,!offer:tatum-starter-recent-state,"[""[Buy](https://www.tatum.io?via=chainlove)"",""[Docs](https://docs.tatum.io/reference/rpc-ton)""]",,,,,,testnet,,,,,,,,,,,,,,,,,,,
ton-api-mainnet-custom-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Custom,Enterprise,Archive,Indexed Data,Custom,mainnet,Custom,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""Custom limits""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-mainnet-heavy-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Heavy,Tiered,Archive,Indexed Data,Custom,mainnet,$890,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""1K RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-mainnet-lite-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Lite,Tiered,Archive,Indexed Data,Custom,mainnet,$9.9,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""10 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-mainnet-plus-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Plus,Tiered,Archive,Indexed Data,Custom,mainnet,$290,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""300 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-mainnet-standart-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Standart,Tiered,Archive,Indexed Data,Custom,mainnet,$95,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""100 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-mainnet-start-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Start,Free,Archive,Indexed Data,Custom,mainnet,$0,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""1 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-testnet-custom-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Custom,Enterprise,Archive,Indexed Data,Custom,testnet,Custom,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""Custom limits""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-testnet-heavy-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Heavy,Tiered,Archive,Indexed Data,Custom,testnet,$890,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""1K RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-testnet-lite-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Lite,Tiered,Archive,Indexed Data,Custom,testnet,$9.9,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""10 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-testnet-plus-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Plus,Tiered,Archive,Indexed Data,Custom,testnet,$290,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""300 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-testnet-standart-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Standart,Tiered,Archive,Indexed Data,Custom,testnet,$95,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""100 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-api-testnet-start-indexer,TON,,"[""[Website](https://tonapi.io/)"",""[Docs](https://docs.tonconsole.com/tonapi)""]",Start,Free,Archive,Indexed Data,Custom,testnet,$0,,FALSE,FALSE,"[""REST API"",""Webhooks API""]","[""1 RPS""]","[""Transaction Risk Warnings"",""One-Time Auth Tokens"",""Decentralized Proofs""]","[""GraphQL-like SQL analytics"",""Graph-based account visualization""]","[""Global""]","[""Jetton/NFT handling"",""Transaction emulation"",""Gasless operations""]",,,,NULL,NULL,NULL,NULL,NULL,
ton-center-mainnet-advanced-indexer,TON,,"[""[Docs](https://docs.ton.org/ecosystem/api/toncenter/rate-limit)""]",Advanced,Tiered,Archive,Indexed Data,Custom,mainnet,25 TON/mo,,FALSE,FALSE,"[""API V3 Indexer""]","[""10 Tokens/network"",""100 reqs/s""]","[""TON Proxy with Garlic Routing"",""Remote Validator Controller"",""Validator Telemetry and Alerts""]","[""Uptime Tracking"",""Latency Metrics"",""Public Dashboards""]","[""Global""]",,,,99.82%,NULL,NULL,NULL,NULL,NULL,
ton-center-mainnet-advanced-recent-state,TON,,"[""[Docs](https://docs.ton.org/ecosystem/api/toncenter/rate-limit)""]",Advanced,Tiered,Pruned,RPC,TON JSON-RPC,mainnet,25 TON/mo,,FALSE,FALSE,"[""API V2""]","[""10 Tokens/network"",""100 reqs/s""]","[""TON Proxy with Garlic Routing"",""Remote Validator Controller"",""Validator Telemetry and Alerts""]","[""Uptime Tracking"",""Latency Metrics"",""Public Dashboards""]","[""Global""]",,,,99.78%,NULL,NULL,NULL,NULL,NULL,
ton-center-mainnet-enterprise-indexer,TON,,"[""[Docs](https://docs.ton.org/ecosystem/api/toncenter/rate-limit)""]",,Enterprise,Archive,Indexed Data,Custom,mainnet,Custom,,FALSE,FALSE,"[""API V3 Indexer""]","[""Custom limits""]","[""TON Proxy with Garlic Routing"",""Remote Validator Controller"",""Validator Telemetry and Alerts""]","[""Uptime Tracking"",""Latency Metrics"",""Public Dashboards""]","[""Global""]",,,,99.82%,NULL,NULL,NULL,NULL,NULL,
