slug,provider,offer,actionButtons,kycLevel,paymentMethods,bannedCountries,aggregator,auditsPerformed,deliveryType,tag
fonbnk,Fonbnk,,"[""[Website](https://fonbnk.com/)"",""[Docs](https://docs.fonbnk.com/)""]",light,"[""airtime"",""mobile_money"",""bank_transfer""]",,FALSE,,"API,Widget",
guardarian,Guardarian,,"[""[Website](https://guardarian.com/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""swift""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
halliday,Halliday,,"[""[Website](https://halliday.xyz/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""exchange_balancies""]","[""CU"",""IR"",""KP"",""SY"",""RU"",""BY""]",TRUE,,TBD,
itez,Itez,,"[""[Website](https://itez.com/)""]",light,"[""credit_card"",""debit_card"",""sepa""]","[""AE"",""AF"",""AG"",""AL"",""AO"",""AT"",""BA"",""BB"",""BD"",""BE"",""BF"",""BG"",""BH"",""BI"",""BO"",""BS"",""BW"",""BY"",""BZ"",""CD"",""CF"",""CG"",""CI"",""CM"",""CN"",""CU"",""CY"",""CZ"",""DE"",""DK"",""DZ"",""EC"",""EE"",""EG"",""ER"",""ES"",""ET"",""FI"",""FM"",""FR"",""GB"",""GH"",""GN"",""GQ"",""GR"",""GW"",""GY"",""HR"",""HT"",""HU"",""ID"",""IE"",""IQ"",""IR"",""IS"",""IT"",""JM"",""JO"",""JP"",""KE"",""KG"",""KH"",""KM"",""KP"",""KW"",""LA"",""LB"",""LC"",""LI"",""LK"",""LT"",""LU"",""LV"",""LY"",""MA"",""MC"",""MD"",""ME"",""MK"",""ML"",""MM"",""MN"",""MT"",""MU"",""MZ"",""NA"",""NG"",""NI"",""NL"",""NO"",""NP"",""OM"",""PA"",""PG"",""PH"",""PK"",""PL"",""PS"",""PT"",""QA"",""RO"",""RU"",""RW"",""SC"",""SD"",""SE"",""SG"",""SI"",""SK"",""SN"",""SO"",""SS"",""ST"",""SY"",""TH"",""TN"",""TO"",""TR"",""TT"",""TV"",""TZ"",""UG"",""US"",""UZ"",""VA"",""VE"",""VN"",""VU"",""WS"",""YE"",""ZA"",""ZW""]",FALSE,,TBD,
kotanipay,Kotanipay,,"[""[Website](https://kotanipay.com/)"",""[Docs](https://docs.kotanipay.com/)""]",light,"[""bank_transfer"",""mobile_money"",""SMS/USSD wallet""]",,FALSE,,"API, white-label widget",
lightspark,Lightspark,Grid Ramps,"[""[Website](https://www.lightspark.com/capabilities/ramps)"",""[Docs](https://docs.lightspark.com/ramps)""]",full,"[""ach"",""sepa"",""bank_transfer"",""fps"",""pix"",""spei"",""upi""]",,FALSE,"[""SOC2_TYPE_II""]",API,
lunu,Lunu,,"[""[Website](https://lunu.io/)""]",full,"[""credit_card"",""debit_card""]",,FALSE,,Widget,
madhouse-wallet,Madhouse Wallet,,"[""[Website](https://madhousewallet.com/)"",""[Docs](https://docs.madhousewallet.com/)""]",full,"[""bank_transfer"",""mobile_money"",""sepa""]",,FALSE,,"API, White Label",
meld,Meld,,"[""[Website](https://www.meld.io/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""PCI_DSS"",""SOC2_TYPE_II""]",TBD,
mercuryo,Mercuryo,,"[""[Website](https://mercuryo.io/)""]",light,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""bank_transfer"",""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",FALSE,"[""PCI_DSS"",""ISO27001""]",TBD,
meso,Meso,,"[""[Website](https://meso.network/)""]",full,"[""bank_transfer"",""ach""]",,FALSE,,TBD,
minipay,Minipay,,"[""[Website](https://minipay.to/)""]",light,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""bank_transfer"",""mobile_money""]",,TRUE,,API,
minisend,Minisend,,"[""[Website](https://minisend.xyz)""]",light,"[""bank_transfer"",""mobile_money""]",,FALSE,,API,
monerium,Monerium,,"[""[Website](https://monerium.com/)"",""[Docs](https://docs.monerium.com/)""]",full,"[""sepa"",""bank_transfer""]",,FALSE,,API,
monica,Monica,,"[""[Website](https://monica.cash/)""]",light,"[""bank_transfer""]",,FALSE,,API,
moonpay,MoonPay,,"[""[Website](https://www.moonpay.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay"",""paypal""]","[""AF"",""CN"",""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""VE""]",FALSE,"[""ISO27001"",""PCI_DSS"",""SOC2_TYPE_II""]",TBD,
mt-pelerin,Mt Pelerin,,"[""[Website](https://www.mtpelerin.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""AF"",""BY"",""IR"",""RU"",""SY"",""CU"",""KP"",""US"",""IQ"",""SS""]",FALSE,,Widget,
onmeta,Onmeta,,"[""[Website](https://onmeta.in/)"",""[Docs](https://docs.onmeta.in/)""]",full,"[""upi"",""bank_transfer"",""gcash"",""paymaya"",""local_payment_methods""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,,Widget,
onramp-money,Onramp Money,,"[""[Website](https://onramp.money/)"",""[Docs](https://docs.onramp.money/onramp)""]",light,"[""credit_card"",""debit_card"",""upi"",""sepa"",""pix"",""local_payment_methods""]",,FALSE,,Widget/API,
onramper,Onramper,,"[""[Website](https://onramper.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""ach"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""SOC2_TYPE_I""]",TBD,
openpeer,OpenPeer,,"[""[Website](https://openpeer.xyz/)"",""[Docs](https://docs.openpeer.xyz/)""]",light,"[""bank_transfer"",""pix"",""mobile_money""]",,FALSE,"[""ahmedovv123 (v0.1 private audit)""]"   ,Web app,
paybis,Paybis,,"[""[Website](https://paybis.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""swift"",""skrill"",""neteller""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
paycrest,Paycrest,,"[""[Website](https://www.paycrest.io/)"",""[Docs](https://docs.paycrest.io/)""]",full,"[""bank_transfer"",""pix"",""mobile_money""]",,TRUE,,API,
ramp-network,Ramp Network,,"[""[Website](https://rampnetwork.com/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""apple_pay"",""google_pay"",""revolut_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""YE""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II"",""PCI_DSS""]",TBD,
rampnow,Rampnow,,"[""[Website](https://rampnow.io/)"",""[Docs](https://docs.rampnow.io/)""]",light,"[""credit_card"",""debit_card"",""sepa"",""bank_transfer"",""apple_pay"",""google_pay"",""pix"",""upi""]",,FALSE,,API,
ravasend,Ravasend,,"[""[Website](https://www.ravasend.com/)""]",light,"[""bank_transfer""]",,FALSE,,TBD,
revolut,Revolut,,"[""[Website](https://www.revolut.com/ramp/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""revolut account""]","[""CU"",""IR"",""KP"",""SY"",""RU"",""BY"",""LY"",""MM"",""VE""]",FALSE,,API,
sardine,Sardine,,"[""[Website](https://www.sardine.ai/)""]",full,"[""ach"",""instant_ach"",""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""SOC2_TYPE_II""]",TBD,
simplex,Simplex,,"[""[Website](https://www.simplex.com/)""]",full,"[""credit_card"",""debit_card""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
straits-x,StraitsX,,"[""[Website](https://www.straitsx.com/)"",""[Docs](https://docs.straitsx.com/)""]",full,"[""bank_transfer"",""paynow""]",,FALSE,,API,
stripe-crypto,Stripe,,"[""[Website](https://stripe.com/crypto)""]",full,"[""credit_card"",""debit_card"",""ach""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""RU""]",FALSE,"[""SOC2_TYPE_II"",""PCI_DSS""]",TBD,
swapin,Swapin,,"[""[Website](https://www.swapin.com/)"",""[Docs](https://swapin.gitbook.io/swapin-widget-documentation)""]",full,"[""credit_card"",""debit_card"",""sepa"",""open_banking"",""bank_transfer""]",,FALSE,,API,
swapped,Swapped,,"[""[Website](https://www.swapped.com/)""]",light,"[""credit_card"",""debit_card"",""ach"",""wire""]","[""AF"",""AO"",""AQ"",""BB"",""BD"",""BI"",""BO"",""CD"",""CF"",""CG"",""CL"",""CN"",""CO"",""CR"",""CU"",""DZ"",""EC"",""GT"",""GW"",""HN"",""HT"",""IQ"",""IR"",""IS"",""KG"",""KH"",""KP"",""LB"",""LR"",""LY"",""MA"",""ML"",""MM"",""NI"",""NP"",""PA"",""PG"",""PK"",""PS"",""RU"",""SA"",""SD"",""SL"",""SO"",""SS"",""SY"",""TN"",""VE"",""YE"",""ZW""]",FALSE,,TBD,
swipelux,Swipelux,,"[""[Website](https://swipelux.com/)"",""[Docs](https://docs.swipelux.com/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""open_banking"",""local_payment_methods""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",TRUE,"[""SOC2_TYPE_II""]",API,
switchere,Switchere,,"[""[Website](https://switchere.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay"",""neteller"",""skrill"",""paypal"",""revolut_pay""]","[""BD"",""BY"",""CU"",""IR"",""KP"",""CN"",""RU"",""SS"",""SD""]",FALSE,"[""PCI_DSS""]",Widget,
topper,Topper,,"[""[Website](https://www.topperpay.com/)""]",full,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""pix"",""sepa"",""paypal"",""venmo""]","[""AF"",""AL"",""DZ"",""AO"",""AM"",""AZ"",""BB"",""BD"",""BY"",""BJ"",""BA"",""BF"",""BI"",""KH"",""CF"",""TD"",""CN"",""CD"",""CG"",""CI"",""CU"",""EC"",""EG"",""GQ"",""ER"",""ET"",""FJ"",""GE"",""GN"",""GW"",""HT"",""HU"",""IN"",""IR"",""IQ"",""JM"",""JP"",""JO"",""KZ"",""LB"",""LR"",""LY"",""ML"",""MU"",""MX"",""MD"",""MN"",""ME"",""MA"",""MM"",""NP"",""NL"",""NI"",""NG"",""KP"",""PK"",""PW"",""RU"",""WS"",""RS"",""SO"",""KR"",""LK"",""SD"",""SY"",""TJ"",""TZ"",""TG"",""TT"",""TN"",""TM"",""UG"",""UA"",""UZ"",""VU"",""YE"",""ZW""]",FALSE,,Widget,
trans-fi,TransFi,,"[""[Website](https://www.transfi.com/products/ramp)"",""[Docs](https://ramp-docs.transfi.com/docs/onramp)""]",full,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay""]","[""AF"",""BY"",""BI"",""CF"",""CU"",""CD"",""ER"",""GT"",""GW"",""HT"",""IR"",""IQ"",""LB"",""LY"",""ML"",""MD"",""MM"",""NI"",""KP"",""RU"",""SO"",""SS"",""SD"",""SY"",""TN"",""TR"",""VE"",""YE"",""ZW""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II"",""PCI_DSS""]",API,
transak,Transak,,"[""[Website](https://transak.com/)""]",light,"[""credit_card"",""debit_card"",""bank_transfer"",""apple_pay"",""google_pay"",""pix""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""ISO27001"",""SOC2_TYPE_II""]",TBD,
unigox,Unigox,,"[""[Website](https://unigox.com/)"",""[Docs](https://guide.unigox.com/)""]",light,"[""bank_transfer"",""mobile_money""]","[""AF"",""BY"",""BI"",""CF"",""CU"",""IR"",""IQ"",""LB"",""LY"",""KP"",""RU"",""SO"",""SS"",""SD"",""SY"",""VE"",""YE"",""US""]",FALSE,,API,
uniramp,Uniramp,,"[""[Website](https://uniramp.com/)"",""[Docs](https://docs.uniramp.com/)""]",full,"[""bank_transfer"",""credit_card"",""debit_card"",""apple_pay"",""google_pay""]",,TRUE,,API,
unlimit-crypto,Unlimit Crypto,,"[""[Website](https://crypto.unlimit.com/)""]",full,"[""credit_card"",""debit_card"",""sepa"",""pix"",""spei""]",,FALSE,"[""PCI_DSS""]",TBD,
utorg,Utorg,,"[""[Website](https://utorg.pro/)""]",light,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay"",""sepa""]","[""AF"",""AT"",""BS"",""BB"",""BY"",""BA"",""BW"",""BI"",""KH"",""CF"",""CN"",""CD"",""CU"",""EG"",""ET"",""DE"",""GH"",""GW"",""GY"",""HU"",""IR"",""IQ"",""JM"",""JP"",""LA"",""LB"",""LY"",""ML"",""MU"",""MM"",""NL"",""NI"",""KP"",""PK"",""PA"",""RU"",""WS"",""RS"",""SG"",""SO"",""SS"",""LK"",""SD"",""SY"",""TT"",""TN"",""UG"",""VU"",""VE"",""YE"",""ZW""]",FALSE,"[""PCI_DSS""]",TBD,
wert,Wert,,"[""[Website](https://wert.io/)""]",light,"[""credit_card"",""debit_card"",""apple_pay"",""google_pay""]","[""AF"",""CU"",""IR"",""KP"",""SY""]",FALSE,"[""PCI_DSS""]",TBD,
zerohash,Zerohash,,"[""[Website](https://zerohash.com/products/on-off-ramp)""]",full,"[""ach"",""rtp"",""sepa""]","[""AF"",""CU"",""IR"",""KP"",""SY"",""BY"",""RU"",""VE"",""CN""]",FALSE,"[""SOC2_TYPE_II"",""SOC2_TYPE_I"",""ISO27001""]",API,
