slug,provider,offer,actionButtons,serverType,hostingType,transportType,mcpEndpoint,authType,credentialKey,selfHostedCommand,selfHostedArgs,selfHostedRequiredEnvVars,x402,onChainWrite,agentSkills,tag,description,planType,planName,price,trial,starred
bitgo-mcp,BitGo,,"[""[Website](https://developers.bitgo.com/)"",""[Docs](https://developers.bitgo.com/docs/get-started-mcp-server)""]",services,Hosted,http,"https://developers.bitgo.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""integration-help"",""concept-exploration""]","[""BitGo"",""documentation"",""AI agents"",""crypto infrastructure""]","Official BitGo MCP server enabling AI tools to search, read, and interact with BitGo documentation through natural language for wallet creation, staking endpoints, API integration, and other developer resources",Free,,$0,FALSE,FALSE
blaze-docs-mcp,Blaze,,"[""[Website](https://blaze.money/)"",""[Docs](https://docs.blaze.money/mcp)""]",docs,Hosted,http,"https://docs.blaze.money/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Blaze"",""wallet"",""Solana"",""documentation"",""AI agents""]","Official Blaze documentation MCP server for AI agents to search Blaze docs, wallet integration references, and developer guidance via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
blockdaemon-docs-mcp,Blockdaemon,,"[""[Website](https://www.blockdaemon.com/)"",""[Docs](https://docs.blockdaemon.com/mcp)""]",docs,Hosted,http,"https://docs.blockdaemon.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Blockdaemon"",""infrastructure"",""node services"",""documentation"",""AI agents""]","Official Blockdaemon documentation MCP server for AI agents to search Blockdaemon docs, API references, and infrastructure integration guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
blockscout-docs-mcp,Blockscout,,"[""[Website](https://www.blockscout.com/)"",""[Docs](https://docs.blockscout.com/mcp)""]",docs,Hosted,http,"https://docs.blockscout.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Blockscout"",""block explorer"",""documentation"",""EVM"",""AI agents""]","Official Blockscout documentation MCP server for AI agents to search Blockscout docs, API references, and explorer integration guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
blockscout-mcp,Blockscout,,"[""[Website](https://github.com/blockscout/mcp-server)"",""[Docs](https://github.com/blockscout/mcp-server#readme)""]",explorers,Hosted,http,"https://mcp.blockscout.com/mcp",None,,,,,FALSE,FALSE,"[""address-balance-query"",""token-lookup"",""contract-metadata"",""transaction-lookup"",""nft-query""]","[""block explorer"",""multi-chain"",""EVM"",""on-chain data"",""AI agents""]","Official Blockscout MCP server for AI agents to access blockchain explorer data—balances, tokens, NFTs, and contract metadata—across EVM networks via a hosted HTTP endpoint",Free,,$0,FALSE,FALSE
blockvision-docs-mcp,BlockVision,,"[""[Website](https://blockvision.org/)"",""[Docs](https://docs.blockvision.org/mcp)""]",docs,Hosted,http,"https://docs.blockvision.org/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""BlockVision"",""web3 data"",""analytics"",""documentation"",""AI agents""]","Official BlockVision documentation MCP endpoint for AI agents to search BlockVision docs, API references, and integration guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
bnbchain-mcp,BNB Chain,,"[""[Website](https://github.com/bnb-chain/bnbchain-mcp)"",""[Docs](https://github.com/bnb-chain/bnbchain-mcp#readme)""]",services,Self-hosted,stdio,,None,,npx,"[""-y"",""@bnb-chain/mcp@latest""]",,FALSE,TRUE,"[""evm-read"",""transaction-send"",""contract-interaction"",""greenfield-file-operations""]","[""EVM"",""BSC"",""opBNB"",""Greenfield"",""AI agents""]","Official BNB Chain MCP server for interacting with BSC, opBNB, Greenfield, and other supported EVM networks via AI agents",Free,,$0,FALSE,FALSE
bubblemaps-docs-mcp,Bubblemaps,,"[""[Website](https://bubblemaps.io/)"",""[Docs](https://docs.bubblemaps.io/mcp)""]",docs,Hosted,http,"https://docs.bubblemaps.io/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Bubblemaps"",""on-chain analytics"",""token distribution"",""documentation"",""AI agents""]","Official Bubblemaps documentation MCP server for AI agents to search Bubblemaps docs, API references, and token-cluster analytics guidance via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
chainbase-docs-mcp,Chainbase,,"[""[Website](https://chainbase.com/)"",""[Docs](https://docs.chainbase.com/mcp)""]",docs,Hosted,http,"https://docs.chainbase.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Chainbase"",""on-chain data"",""indexing"",""documentation"",""AI agents""]","Official Chainbase documentation MCP server for AI agents to search Chainbase docs, API references, and integration guides for on-chain data and indexing services via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
chainlink-feeds-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/chainlink-feeds-mcp)"",""[Docs](https://github.com/kukapay/chainlink-feeds-mcp#readme)""]",analytics,Self-hosted,stdio,,API Key,,node,"[""path/to/chainlink-feeds-mcp/index.js""]","[""INFURA_API_KEY""]",FALSE,FALSE,"[""price-feed-query"",""multi-chain-price-data"",""defi-analytics""]","[""Chainlink"",""price feeds"",""DeFi"",""multi-chain"",""AI agents""]",MCP server providing real-time Chainlink on-chain price feed data across 9 EVM networks via Infura API,Free,,$0,FALSE,FALSE
chainstack-developer-portal-mcp,Chainstack,,"[""[Website](https://docs.chainstack.com/docs/developer-portal-mcp-server)"",""[Docs](https://docs.chainstack.com/docs/developer-portal-mcp-server)""]",docs,Hosted,http,"https://docs.chainstack.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Chainstack"",""documentation"",""developer platform"",""AI agents""]","Official Chainstack Developer Portal MCP server for AI agents to search Chainstack documentation, API references, and blockchain development guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
chainstack-rpc-nodes-mcp,Chainstack,,"[""[Website](https://github.com/chainstacklabs/rpc-nodes-mcp)"",""[Docs](https://docs.chainstack.com/docs/platform-introduction)""]",apis,Self-hosted,stdio,,API Key,,,,,FALSE,TRUE,"[""json-rpc-interaction"",""node-access""]","[""JSON-RPC"",""Blockchain nodes"",""Ethereum"",""Solana"",""AI agents""]","Minimal, fast, and extensible MCP server for interactions with JSON-RPC blockchain nodes",Free,,$0,FALSE,FALSE
circle-codegen-mcp,Circle,,"[""[Website](https://developers.circle.com/ai/mcp)"",""[Docs](https://developers.circle.com/ai/mcp)""]",services,Hosted,http,"https://api.circle.com/v1/codegen/mcp",None,,,,,FALSE,FALSE,"[""code-generation"",""api-reference"",""developer-guidance""]","[""Circle"",""USDC"",""wallets"",""CCTP"",""code generation"",""AI agents""]","Official Circle AI Codegen MCP server for AI agents and IDEs to generate and fix code for Circle-based crypto apps including Wallets, Contracts, CCTP, and Gateway via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
circle-docs-mcp,Circle,,"[""[Website](https://www.circle.com/)"",""[Docs](https://developers.circle.com/mcp)""]",docs,Hosted,http,"https://developers.circle.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Circle"",""stablecoins"",""payments"",""documentation"",""AI agents""]","Official Circle documentation MCP server for AI agents to search Circle docs, API references, and developer guides for stablecoin and payments infrastructure via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
clave-docs-mcp,Clave,,"[""[Website](https://www.getclave.com/)"",""[Docs](https://docs.getclave.com/mcp)""]",docs,Hosted,http,"https://docs.getclave.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Clave"",""wallet"",""ZKsync"",""documentation"",""AI agents""]","Official Clave documentation MCP server for AI agents to search Clave docs, wallet integration guides, and API references via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
codex-docs-mcp,Codex,,"[""[Website](https://docs.codex.io/)"",""[Docs](https://docs.codex.io/agents/docs-mcp)""]",docs,Hosted,http,"https://docs.codex.io/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""graphql-guidance"",""query-generation""]","[""DeFi"",""multi-chain"",""market data"",""documentation"",""AI agents""]",Official Codex Docs MCP server for AI agents to search Codex API documentation and generate accurate GraphQL queries via a hosted HTTP endpoint,Free,,$0,FALSE,FALSE
codex-mcp,Codex,,"[""[Website](https://github.com/Codex-Data/codex-mcp)"",""[Docs](https://docs.codex.io/agents/docs-mcp)""]",apis,Self-hosted,stdio,,API Key,,npx,"[""@codex-data/codex-mcp""]","[""CODEX_API_KEY""]",FALSE,FALSE,"[""token-data"",""pair-analytics"",""defi-events"",""wallet-analytics""]","[""DeFi"",""multi-chain"",""market data"",""AI agents""]",Official Codex MCP server for querying real-time enriched DeFi and blockchain data across 90+ networks via the Codex GraphQL API,Free,,$0,FALSE,FALSE
coinbase-agentkit-mcp,Coinbase,,"[""[Website](https://github.com/coinbase/agentkit/tree/main/typescript/framework-extensions/model-context-protocol)"",""[Docs](https://docs.cdp.coinbase.com/agent-kit/core-concepts/model-context-protocol)""]",wallets,Self-hosted,stdio,,API Key,,,,,FALSE,TRUE,"[""wallet-management"",""onchain-transfers"",""smart-contract-interaction""]","[""EVM"",""SVM"",""AgentKit"",""AI agents""]",Official Coinbase AgentKit MCP extension for exposing wallet and onchain tools to MCP-compatible AI clients,Free,,$0,FALSE,FALSE
coinbase-cdp-mcp,Coinbase,,"[""[Website](https://docs.cdp.coinbase.com/)"",""[Docs](https://docs.cdp.coinbase.com/get-started/develop-with-ai/setup/ai-mcp-setup)""]",docs,Hosted,http,"https://docs.cdp.coinbase.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Coinbase"",""CDP"",""developer-platform"",""documentation"",""AI agents""]","Official Coinbase Developer Platform MCP server for AI agents to search CDP documentation, API references, and developer guides",Free,,$0,FALSE,FALSE
coingecko-docs-mcp,CoinGecko,,"[""[Website](https://www.coingecko.com/)"",""[Docs](https://docs.coingecko.com/docs/mcp-server)""]",docs,Hosted,http,"https://docs.coingecko.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""CoinGecko"",""market data"",""documentation"",""API"",""AI agents""]","Official CoinGecko documentation MCP server for AI agents to search CoinGecko API docs, endpoint references, and implementation guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
coingecko-mcp,CoinGecko,,"[""[Website](https://github.com/coingecko/coingecko-typescript/tree/main/packages/mcp-server)"",""[Docs](https://docs.coingecko.com/)""]",apis,Self-hosted,stdio,,API Key,coingecko,npx,"[""-y"",""@coingecko/coingecko-mcp""]",,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""token-analytics"",""historical-data-query""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinGecko MCP server for AI agents to query cryptocurrency prices, market data, and on-chain metrics across 250+ blockchain networks via the CoinGecko API",Free,,$0,FALSE,FALSE
coingecko-mcp-http,CoinGecko,,"[""[Website](https://www.coingecko.com/)"",""[Docs](https://docs.coingecko.com/docs/mcp-server)""]",analytics,Hosted,http,,None,,,,,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""token-analytics"",""historical-data-query"",""dex-analytics""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinGecko public hosted MCP server for AI agents to access real-time crypto prices, market caps, trading volumes, onchain DEX analytics across 200+ networks, trending tokens, and historical data; no API key required",Free,,$0,FALSE,FALSE
coingecko-mcp-pro,CoinGecko,,"[""[Website](https://www.coingecko.com/)"",""[Docs](https://docs.coingecko.com/docs/mcp-server)""]",analytics,Hosted,http,"https://mcp.pro-api.coingecko.com/mcp",API Key,coingecko,,,,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""token-analytics"",""historical-data-query"",""dex-analytics""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinGecko authenticated hosted MCP server for AI agents to access the full toolset with higher rate limits via Demo/Pro API key authorization at the Pro endpoint",Freemium,Demo/Pro,$0,FALSE,FALSE
coingecko-mcp-pro-sse,CoinGecko,,"[""[Website](https://www.coingecko.com/)"",""[Docs](https://docs.coingecko.com/docs/mcp-server)""]",analytics,Hosted,sse,"https://mcp.pro-api.coingecko.com/sse",API Key,coingecko,,,,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""token-analytics"",""historical-data-query"",""dex-analytics""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinGecko authenticated hosted MCP SSE endpoint for AI agents that connect with Server-Sent Events and Demo/Pro API key authorization",Freemium,Demo/Pro,$0,FALSE,FALSE
coingecko-mcp-sse,CoinGecko,,"[""[Website](https://www.coingecko.com/)"",""[Docs](https://docs.coingecko.com/docs/mcp-server)""]",analytics,Hosted,sse,"https://mcp.api.coingecko.com/sse",None,,,,,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""token-analytics"",""historical-data-query"",""dex-analytics""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinGecko public hosted MCP SSE endpoint for AI agents to access real-time crypto market and onchain analytics data without an API key",Free,,$0,FALSE,FALSE
coinglass-docs-mcp,Coinglass,,"[""[Website](https://www.coinglass.com/)"",""[Docs](https://docs.coinglass.com/mcp)""]",docs,Hosted,http,"https://docs.coinglass.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Coinglass"",""analytics"",""market data"",""documentation"",""AI agents""]","Official Coinglass documentation MCP server for AI agents to search Coinglass docs, API references, and analytics integration guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
coinmarketcap-mcp,CoinMarketCap,,"[""[Website](https://coinmarketcap.com/api/documentation/ai-agent-hub)"",""[Docs](https://coinmarketcap.com/api/documentation/ai-agent-hub/mcp)""]",analytics,Hosted,http,"https://mcp.coinmarketcap.com/mcp",API Key,coinmarketcap,,,,TRUE,FALSE,"[""price-lookup"",""market-cap-query"",""trading-volume"",""token-search"",""exchange-data-query""]","[""market data"",""crypto prices"",""multi-chain"",""AI agents"",""x402""]","Official CoinMarketCap MCP server for AI agents to access real-time cryptocurrency prices, market caps, trading volumes, and data on 20,000+ coins; requires CMC Pro API key or pay per request via x402 at $0.01 USDC on Base",Free,,$0,FALSE,FALSE
coinpaprika-docs-mcp,Coinpaprika,,"[""[Website](https://coinpaprika.com/)"",""[Docs](https://docs.coinpaprika.com/mcp-introduction)""]",docs,Hosted,http,"https://docs.coinpaprika.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Coinpaprika"",""market data"",""documentation"",""AI agents""]","Official Coinpaprika documentation MCP server for AI agents to search Coinpaprika docs, API references, and developer guidance via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
coinpaprika-mcp-json-rpc,Coinpaprika,,"[""[Website](https://coinpaprika.com/)"",""[Docs](https://docs.coinpaprika.com/mcp-introduction)""]",analytics,Hosted,http,"https://mcp.coinpaprika.com/json-rpc",None,,,,,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""market-cap-query"",""trading-volume-query"",""exchange-data-query""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinPaprika hosted MCP server for AI agents over JSON-RPC HTTP, providing real-time cryptocurrency prices, market caps, trading volumes, and token data for 8,000+ coins without an API key",Free,,$0,FALSE,FALSE
coinpaprika-mcp-sse,Coinpaprika,,"[""[Website](https://coinpaprika.com/)"",""[Docs](https://docs.coinpaprika.com/mcp-introduction)""]",analytics,Hosted,sse,"https://mcp.coinpaprika.com/sse",None,,,,,FALSE,FALSE,"[""coin-price-query"",""market-data-query"",""market-cap-query"",""trading-volume-query"",""exchange-data-query""]","[""market data"",""price feeds"",""crypto analytics"",""multi-chain"",""AI agents""]","Official CoinPaprika hosted MCP server for AI agents to access real-time cryptocurrency prices, market caps, trading volumes, and token data for 8,000+ coins via a public SSE endpoint; no API key required",Free,,$0,FALSE,FALSE
contract-scraper-mcp,KukaPay,,"[""[Website](https://github.com/kukapay/contract-scraper-mcp)"",""[Docs](https://github.com/kukapay/contract-scraper-mcp#readme)""]",smart-contract,Self-hosted,stdio,,API Key,,uv,"[""--directory"",""/path/to/contract-scraper-mcp"",""run"",""main.py""]","[""ETHERSCAN_API_KEY""]",FALSE,FALSE,"[""contract-source-download"",""abi-retrieval"",""contract-metadata-query""]","[""smart contracts"",""EVM"",""block explorer"",""source code"",""AI agents""]",MCP server for AI agents to download verified smart-contract source code and ABIs across 13 EVM blockchains via Etherscan V2 API,Free,,$0,FALSE,FALSE
covalent-docs-mcp,Covalent,,"[""[Website](https://www.covalenthq.com/)"",""[Docs](https://www.covalenthq.com/docs/mcp)""]",docs,Hosted,http,"https://www.covalenthq.com/docs/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Covalent"",""web3 data"",""APIs"",""documentation"",""AI agents""]","Official Covalent documentation MCP server for AI agents to search Covalent docs, API references, and API integration guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
crossmint-docs-mcp,Crossmint,,"[""[Website](https://www.crossmint.com/)"",""[Docs](https://docs.crossmint.com/mcp)""]",docs,Hosted,http,"https://docs.crossmint.com/mcp",None,,,,,FALSE,FALSE,"[""documentation-search"",""api-reference"",""developer-guidance""]","[""Crossmint"",""documentation"",""developer platform"",""AI agents""]","Official Crossmint documentation MCP server for AI agents to search Crossmint docs, API references, and integration guides via a hosted streamable HTTP endpoint",Free,,$0,FALSE,FALSE
crypto-com-market-data-mcp,Crypto.com,,"[""[Website](https://mcp.crypto.com/docs)"",""[Docs](https://mcp.crypto.com/docs/getting-started)""]",analytics,Hosted,http,"https://mcp.crypto.com/market-data/mcp",None,,,,,FALSE,FALSE,"[""price-lookup"",""trading-volume"",""market-data-query"",""price-change-tracking""]","[""Crypto.com"",""market data"",""crypto prices"",""AI agents""]","Official Crypto.com Market Data MCP server providing real-time cryptocurrency prices, trading volumes, and market trends directly to AI assistants; no API key required",Free,,$0,FALSE,FALSE
cryptoapis-mcp-address-history,Crypto APIs,,"[""[Website](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-history)"",""[Docs](https://github.com/CryptoAPIs-io/cryptoapis-mcp-address-history#readme)""]",apis,Self-hosted,stdio,,API Key,cryptoapis,npx,"[""@cryptoapis-io/mcp-address-history""]","[""CRYPTOAPIS_API_KEY""]",FALSE,FALSE,"[""address-history-query"",""transaction-history"",""address-sync-management""]","[""infrastructure"",""multi-chain"",""address-history"",""APIs"",""AI agents""]",MCP server for querying full address transaction and token transfer history for synced addresses across EVM and UTXO blockchains via Crypto APIs,Free,,$0,FALSE,FALSE
